name,name_link,review_count_link,cuisines_block_x,cuisines_categories,cuisines_categories_link,reviews,url_y,rating,cuisines_block,price_group,review_count,review_talk_1,review_talk_2,review_talk_3,address,postcode,thumbnail,thumbnail_alt_x,thumbnail_alt_y,categories,reviews_combined,reviews_stemmed,rev_cat_soup
taNgia,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7391044-Reviews-TaNgia-London_England.html,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7391044-Reviews-TaNgia-London_England.html#REVIEWS,££ - £££ Moroccan Mediterranean Grill Vegetarian Friendly Vegan Options Halal,Moroccan; Mediterranean; Vegetarian Friendly; Vegan Options; Halal,https://www.tripadvisor.co.uk/Restaurants-g186338-c10633-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c28-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10665-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10697-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10751-London_England.html,Delicious Food & Service That Exceeds Expe...; Unreal place,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7391044-Reviews-TaNgia-London_England.html,5.0,"Moroccan, Mediterranean, Grill, Vegetarian Friendly, Vegan Options, Halal",$$ - $$$,566,“tagine”,“mixed grill”,“saffron rice”,"108 Mitcham Road | Tooting Broadway, London SW17 9NG, England","London SW17 9NG,",https://media-cdn.tripadvisor.com/media/photo-o/08/16/42/8d/tangia.jpg,,,moroccan mediterranean vegetarianfriendly veganoptions halal,Delicious Food  Service That Exceeds Expe Unreal place tagine mixed grill saffron rice,delicious food  service that exceeds expe unreal place tagine mixed grill saffron ric,delicious food  service that exceeds expe unreal place tagine mixed grill saffron ric moroccan mediterranean vegetarianfriendly veganoptions halal
Ormer Mayfair,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10682050-Reviews-Ormer_Mayfair-London_England.html,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10682050-Reviews-Ormer_Mayfair-London_England.html#REVIEWS,££ - £££ European British Vegetarian Friendly Vegan Options Gluten Free Options,European; British; Vegetarian Friendly; Vegan Options; Gluten Free Options,https://www.tripadvisor.co.uk/Restaurants-g186338-c18-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c7-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10665-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10697-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10992-London_England.html,"Great restaurant!; Perfect service, perfect meal",https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10682050-Reviews-Ormer_Mayfair-London_England.html,4.5,"Search available times for this restaurant; European, British, Vegetarian Friendly, Vegan Options, Gluten Free Options",$$ - $$$,400,“turbot”,“treacle tart”,“tasting menu”,"8-12 Half Moon Street, London W1J 7BH, England","London W1J 7BH,",https://media-cdn.tripadvisor.com/media/photo-s/12/db/3f/e6/ormer-mayfair.jpg,,,european british vegetarianfriendly veganoptions glutenfreeoptions,Great restaurant Perfect service perfect meal turbot treacle tart tasting menu,great restaurant perfect service perfect meal turbot treacle tart tasting menu,great restaurant perfect service perfect meal turbot treacle tart tasting menu european british vegetarianfriendly veganoptions glutenfreeoptions
Peninsula Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10148721-Reviews-Peninsula_Restaurant-London_England.html,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10148721-Reviews-Peninsula_Restaurant-London_England.html#REVIEWS,££££ European British Vegetarian Friendly Vegan Options Gluten Free Options,European; British; Vegetarian Friendly; Vegan Options; Gluten Free Options,https://www.tripadvisor.co.uk/Restaurants-g186338-c18-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c7-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10665-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10697-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10992-London_England.html,Very Good; Exceptional service and exquisite food,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10148721-Reviews-Peninsula_Restaurant-London_England.html,5.0,"Search available times for this restaurant; European, British, Vegetarian Friendly, Vegan Options, Gluten Free Options",$$$$,264,“tasting menu”,“cornish crab”,“quail”,"The 02 1 Waterview Drive, London SE10 0TW, England","London SE10 0TW,",https://media-cdn.tripadvisor.com/media/photo-s/0c/e5/22/49/pea-textures.jpg,,,european british vegetarianfriendly veganoptions glutenfreeoptions,Very Good Exceptional service and exquisite food tasting menu cornish crab quail,very good exceptional service and exquisite food tasting menu cornish crab quail,very good exceptional service and exquisite food tasting menu cornish crab quail european british vegetarianfriendly veganoptions glutenfreeoptions
Raison D'etre,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1316102-Reviews-Raison_D_etre-London_England.html,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1316102-Reviews-Raison_D_etre-London_England.html#REVIEWS,£ French Cafe European Vegetarian Friendly Vegan Options Gluten Free Options,French; Cafe; European; Vegetarian Friendly; Vegan Options; Gluten Free Options,https://www.tripadvisor.co.uk/Restaurants-g186338-c20-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c8-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c18-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10665-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10697-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10992-London_England.html,"Breakfast so good, returned for Lunch!; Incredible personal service",https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1316102-Reviews-Raison_D_etre-London_England.html,4.5,"French, Cafe, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",$,541,“sandwich”,“paninis”,“focaccia”,"18 Bute Street | South Kensington, London SW7 3EX, England","London SW7 3EX,",https://media-cdn.tripadvisor.com/media/photo-s/02/fa/a1/38/raison-d-etre.jpg,,,french cafe european vegetarianfriendly veganoptions glutenfreeoptions,Breakfast so good returned for Lunch Incredible personal service sandwich paninis focaccia,breakfast so good returned for lunch incredible personal service sandwich paninis focaccia,breakfast so good returned for lunch incredible personal service sandwich paninis focaccia french cafe european vegetarianfriendly veganoptions glutenfreeoptions
Aux Pains de Papy,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5534007-Reviews-Aux_Pains_de_Papy-London_England.html,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5534007-Reviews-Aux_Pains_de_Papy-London_England.html#REVIEWS,£ French Cafe European Vegetarian Friendly,French; Cafe; European; Vegetarian Friendly,https://www.tripadvisor.co.uk/Restaurants-g186338-c20-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c8-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c18-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10665-London_England.html,"I had the eclairs, the lemon tart, the...; We had an almond croissant and an almon...",https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5534007-Reviews-Aux_Pains_de_Papy-London_England.html,5.0,"French, Cafe, European, Vegetarian Friendly",$,226,“pastry”,“bread”,“eclairs”,"279 Gray's Inn Road | King's Cross, London WC1X 8QF, England","London WC1X 8QF,",https://media-cdn.tripadvisor.com/media/photo-w/10/ac/96/ba/photo1jpg.jpg,,,french cafe european vegetarianfriendly,I had the eclairs the lemon tart the We had an almond croissant and an almon pastry bread eclairs,i had the eclairs the lemon tart the we had an almond croissant and an almon pastry bread eclair,i had the eclairs the lemon tart the we had an almond croissant and an almon pastry bread eclair french cafe european vegetarianfriendly
Baileys Fish and Chips,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2719908-Reviews-Baileys_Fish_and_Chips-London_England.html,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2719908-Reviews-Baileys_Fish_and_Chips-London_England.html#REVIEWS,£ Seafood Fast food British Vegetarian Friendly Gluten Free Options,Seafood; Fast food; British; Vegetarian Friendly; Gluten Free Options,https://www.tripadvisor.co.uk/Restaurants-g186338-c33-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c10646-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c7-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10665-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10992-London_England.html,The best fish and chips; Lunch,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2719908-Reviews-Baileys_Fish_and_Chips-London_England.html,4.5,"Seafood, Fast Food, British, Vegetarian Friendly, Gluten Free Options",$,"1,609",“fish and chips”,“tartare”,“calamari”,"115 Dawes Rd, London SW6 7DU, England","London SW6 7DU,",https://media-cdn.tripadvisor.com/media/photo-s/12/9e/03/d8/photo0jpg.jpg,,,seafood fastfood british vegetarianfriendly glutenfreeoptions,The best fish and chips Lunch fish and chips tartare calamari,the best fish and chips lunch fish and chips tartare calamari,the best fish and chips lunch fish and chips tartare calamari seafood fastfood british vegetarianfriendly glutenfreeoptions
Humble Grape,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d8122594-Reviews-Humble_Grape-London_England.html,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d8122594-Reviews-Humble_Grape-London_England.html#REVIEWS,££ - £££ European Wine Bar Bar Mediterranean British Vegetarian Friendly,European; Mediterranean; British; Vegetarian Friendly,https://www.tripadvisor.co.uk/Restaurants-g186338-c18-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c28-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c7-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10665-London_England.html,Nice wine bar; Cute wine bar,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d8122594-Reviews-Humble_Grape-London_England.html,4.5,"Search available times for this restaurant; European, Wine Bar, Bar, Mediterranean, British, Vegetarian Friendly",$$ - $$$,731,“baked camembert”,“meat platter”,“charcuterie”,"2 Battersea Rise, London SW11 1ED, England","London SW11 1ED,",https://media-cdn.tripadvisor.com/media/photo-w/10/ee/01/91/back-room-upstairs.jpg,,,european mediterranean british vegetarianfriendly,Nice wine bar Cute wine bar baked camembert meat platter charcuterie,nice wine bar cute wine bar baked camembert meat platter charcuteri,nice wine bar cute wine bar baked camembert meat platter charcuteri european mediterranean british vegetarianfriendly
TortelliniCup London,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7618957-Reviews-TortelliniCup_London-London_England.html,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7618957-Reviews-TortelliniCup_London-London_England.html#REVIEWS,£ Italian Fast food Mediterranean Gastropub Vegetarian Friendly Vegan Options Gluten Free Options,Italian; Fast food; Mediterranean; Vegetarian Friendly; Vegan Options; Gluten Free Options,https://www.tripadvisor.co.uk/Restaurants-g186338-c26-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c10646-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c28-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10665-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10697-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10992-London_England.html,Excellent; Delicious!!!!!,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7618957-Reviews-TortelliniCup_London-London_England.html,4.5,"Italian, Fast Food, Mediterranean, Gastropub, Vegetarian Friendly, Vegan Options, Gluten Free Options",$,866,“tortellini”,“italian pasta”,“mortadella”,"255 Finchley Road | O2 Centre, London NW3 6LU, England","London NW3 6LU,",https://media-cdn.tripadvisor.com/media/photo-s/07/46/59/67/tortellinicup.jpg,,,italian fastfood mediterranean vegetarianfriendly veganoptions glutenfreeoptions,Excellent Delicious tortellini italian pasta mortadella,excellent delicious tortellini italian pasta mortadella,excellent delicious tortellini italian pasta mortadella italian fastfood mediterranean vegetarianfriendly veganoptions glutenfreeoptions
The Five Fields,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3853609-Reviews-The_Five_Fields-London_England.html,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3853609-Reviews-The_Five_Fields-London_England.html#REVIEWS,££££ European British Contemporary Vegetarian Friendly Vegan Options Gluten Free Options,European; British; Vegetarian Friendly; Vegan Options; Gluten Free Options,https://www.tripadvisor.co.uk/Restaurants-g186338-c18-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c7-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10665-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10697-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10992-London_England.html,One of the best restaurants I have ever be...; unforgettable,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3853609-Reviews-The_Five_Fields-London_England.html,5.0,"European, British, Contemporary, Vegetarian Friendly, Vegan Options, Gluten Free Options",$$$$,"1,173",“amuse bouche”,“tasting menu”,“foie gras”,"8-9 Blacklands Terrace | Chelsea, London SW3 2SP, England","London SW3 2SP,",https://media-cdn.tripadvisor.com/media/photo-w/10/48/a5/fe/summer.jpg,,,european british vegetarianfriendly veganoptions glutenfreeoptions,One of the best restaurants I have ever be unforgettable amuse bouche tasting menu foie gras,one of the best restaurants i have ever be unforgettable amuse bouche tasting menu foie gra,one of the best restaurants i have ever be unforgettable amuse bouche tasting menu foie gra european british vegetarianfriendly veganoptions glutenfreeoptions
Tomo Pizzeria & Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1801860-Reviews-Tomo_Pizzeria_Restaurant-London_England.html,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1801860-Reviews-Tomo_Pizzeria_Restaurant-London_England.html#REVIEWS,££ - £££ Italian Pizza European Vegetarian Friendly Vegan Options,Italian; Pizza; European; Vegetarian Friendly; Vegan Options,https://www.tripadvisor.co.uk/Restaurants-g186338-c26-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c31-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c18-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10665-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10697-London_England.html,"Perfect; Lovely Food, Lovely Environment",https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1801860-Reviews-Tomo_Pizzeria_Restaurant-London_England.html,5.0,"Search available times for this restaurant; Italian, Pizza, European, Vegetarian Friendly, Vegan Options",$$ - $$$,167,“pizza”,“nduja”,“pancetta”,"88 High Street | Hornsey N8 7NU, London N8 7NU, England","London N8 7NU,",https://media-cdn.tripadvisor.com/media/photo-w/0a/13/43/b1/tomo-pizzeria-restaurant.jpg,,,italian pizza european vegetarianfriendly veganoptions,Perfect Lovely Food Lovely Environment pizza nduja pancetta,perfect lovely food lovely environment pizza nduja pancetta,perfect lovely food lovely environment pizza nduja pancetta italian pizza european vegetarianfriendly veganoptions
